target_round,recent5_rounds,source,source_name,usage,trend_type,rank,era,topic_train,topic,topic_summary,label,combo_label,combo_label_with_topic,count,ratio,ratio_percent
73,68~72,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era_topic_train,5,고려,정치,,"정치 4, 경제 4, 군사 3",고려 + 정치,고려 + 정치,"고려 + 정치 (정치 4, 경제 4, 군사 3)",13,0.052,5.2
73,68~72,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era_topic_train,1,개항기,사건,,"사건 5, 외교 1",개항기 + 사건,개항기 + 사건,"개항기 + 사건 (사건 5, 외교 1)",6,0.12,12.0
73,68~72,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era_topic_train,2,일제 강점기,사건,,사건 5,일제 강점기 + 사건,일제 강점기 + 사건,일제 강점기 + 사건 (사건 5),5,0.1,10.0
73,68~72,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era_topic_train,3,현대,사건,,"사건 3, 정치 1",현대 + 사건,현대 + 사건,"현대 + 사건 (사건 3, 정치 1)",4,0.08,8.0
73,68~72,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era_topic_train,4,고려,사건,,"사건 1, 인물 1, 군사 1",고려 + 사건,고려 + 사건,"고려 + 사건 (사건 1, 인물 1, 군사 1)",3,0.06,6.0
73,68~72,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era_topic_train,5,조선,인물,,인물 3,조선 + 인물,조선 + 인물,조선 + 인물 (인물 3),3,0.06,6.0
73,68~72,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era_topic_train,1,개항기,사건,,사건 5,개항기 + 사건,개항기 + 사건,개항기 + 사건 (사건 5),5,0.1,10.0
73,68~72,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era_topic_train,2,일제 강점기,사건,,사건 5,일제 강점기 + 사건,일제 강점기 + 사건,일제 강점기 + 사건 (사건 5),5,0.1,10.0
73,68~72,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era_topic_train,3,고려,정치,,"군사 2, 정치 1, 경제 1",고려 + 정치,고려 + 정치,"고려 + 정치 (군사 2, 정치 1, 경제 1)",4,0.08,8.0
73,68~72,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era_topic_train,4,조선,인물,,인물 4,조선 + 인물,조선 + 인물,조선 + 인물 (인물 4),4,0.08,8.0
73,68~72,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era_topic_train,5,삼국 시대,정치,,"외교 1, 정치 1, 군사 1",삼국 시대 + 정치,삼국 시대 + 정치,"삼국 시대 + 정치 (외교 1, 정치 1, 군사 1)",3,0.06,6.0
73,68~72,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era,1,조선,,,,조선,,,56,0.224,22.4
73,68~72,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era,2,고려,,,,고려,,,41,0.164,16.4
73,68~72,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era,3,일제 강점기,,,,일제 강점기,,,37,0.148,14.8
73,68~72,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era,4,현대,,,,현대,,,34,0.136,13.6
73,68~72,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era,5,개항기,,,,개항기,,,30,0.12,12.0
73,68~72,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era,1,조선,,,,조선,,,11,0.22,22.0
73,68~72,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era,2,일제 강점기,,,,일제 강점기,,,10,0.2,20.0
